RK,Team,Conf,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFGD_O,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB
126,Youngstown St.,Horz,27,108.7130,104.9144,.6007126,50.5181,48.882,15.470,16.7202,34.236,28.5151,29.5280,30.2116,51.6132,47.973,32.6235,33.6161,41.958,36125,69.393,-4.6123
127,Drexel,CAA,29,108.3134,104.5139,.5999127,50.4188,47.445,16.8155,13.2350,33.941,24.622,30260,27.551,50.4170,47.558,33.5196,31.551,33286,36.1127,64.8329,-5.2137
128,Oakland,Horz,30,109.0123,105.2151,.5989128,52.1109,50.9198,16.5141,16.4225,30.7114,28.7162,30260,26.531,51.8121,50.7191,35115,34190,4185,41.2299,67.4209,-4118
129,Notre Dame,ACC,28,101.3266,97.930,.5969129,47.4293,47.849,19.6320,16250,29171,25.857,26.5336,26.837,48268,46.440,31305,33.5152,43.835,35.8119,64.4336,-6.9166
130,Santa Clara,WCC,29,108.7129,105.2149,.5943130,52.495,48.366,18.1242,14.3328,34.332,26.575,30.1256,34.2220,52.594,48.7100,34.8126,31.864,39.3126,36.9163,68.8126,-3.6109
131,Murray St.,MVC,29,109.1119,105.7162,.5923131,50.9161,54.1339,14.530,17.9121,26.2272,25.960,29.8270,26.938,52.3102,53.5314,32.1260,36.7336,35.5227,42.8333,65322,-10.6260
132,Missouri,SEC,28,109.0124,105.6160,.5891132,50.5181,50.9198,16.6147,18.778,26.2272,35.3355,30.7243,40.7327,51.8121,50.6184,32.4245,34.2208,40.1105,39.1252,66.8242,-8.8212
133,Seattle,WAC,28,104.2217,101.075,.5871133,50.5181,4615,18.6276,17.6133,29.6149,25.857,36.198,38.2299,50186,46.743,34.1167,29.710,38.3149,34.268,67.2218,-5.9150
134,UAB,Amer,27,110.6102,107.3195,.5869134,48.8252,51.4228,17.3188,16.5221,35.422,30.5246,40.220,30.7128,49.5212,50.4176,31.6288,35.4279,31.3311,36.1127,68172,-2.798
135,Morehead St.,OVC,26,108.2136,105.0147,.5865135,54.139,4615,19299,15.2299,32.473,26.988,31.5222,34.2220,5617,45.521,34.4147,31.450,44.729,31.122,64.8330,-3.4102
136,Louisiana Lafayette,SB,28,107.2161,104.1133,.5846136,50.9161,50.1154,17.2178,20.532,31.591,32.6319,28.9292,41.9335,51.6132,53.9321,33.2208,281,36.2207,32.133,68.7134,-7.2175
137,Georgia Tech,ACC,28,108.0147,104.9145,.5831137,48.2270,48.674,17.6207,12.8358,31.493,29.4189,29.6277,32.4170,47.7279,49.4133,32.7234,31.655,40.596,39.8269,67.5201,-4.9130
138,UT Arlington,WAC,27,106.4174,103.8128,.5702138,50.6177,49.2105,21.7355,18.969,32.763,29.7205,40.121,40.8328,49.6210,47.558,34.6138,34.9250,42.155,35.6111,7139,-6.1153
139,Wichita St.,Amer,28,104.3212,101.994,.5662139,49.2242,48.159,18.2256,15.3294,31107,28.9171,27.3324,27.760,50.3174,47.973,31.1304,32.281,30.9315,38.2220,69.299,-9.6234
140,Western Kentucky,CUSA,25,105.8190,103.4121,.5662140,51.6137,47.849,18.6276,18.1110,28.7182,27.5108,32.6187,33.1197,51.8121,48.592,34.2160,31.140,31.2312,39.5262,75.41,-4.8125
141,Towson,CAA,29,104.1218,101.993,.5604141,47.2298,48.882,18.7287,16.9185,402,26.778,34.7128,31.4142,46.1325,47.770,32.9222,33.7170,34269,36.3138,62.3359,-5.8147
142,Eastern Washington,BSky,27,111.488,109.1236,.5600142,56.97,52.1269,18.9292,16.1244,26.3269,26.778,38.641,33192,57.114,51.4226,37.817,35.5284,41.763,41.2299,70.551,-3.6107
143,UMass Lowell,AE,24,108.2137,106.2173,.5547143,51.6137,4735,18.2256,15.9257,31.984,28129,39.430,27.247,53.174,48.8107,31.9267,28.95,28.9340,32.741,69.969,-3.6108
144,Chattanooga,SC,28,111.390,109.2240,.5540144,55.322,50.3167,17.2178,14.7313,27.8220,28.1134,29.3286,27.247,57.312,48.7100,35.683,35254,50.83,41.8315,67229,-4.8126
145,Arkansas St.,SB,31,113.164,111.0271,.5538145,51.9123,49.9147,16.3120,14.2330,33.254,29.4189,33169,36.3269,51.6132,48.9113,34.9122,35.1260,44.533,27.14,68.8118,-8.2201
146,Furman,SC,27,109.3116,107.3192,.5538146,52.591,52.2275,16.3120,16.1244,29.3156,26.988,31235,28.271,54.535,53.4307,33.5196,33.4146,47.711,35.399,69.580,-8.4206
147,Wright St.,Horz,28,116.332,114.4340,.5492147,58.32,55349,16.4130,16.4225,28.8178,28.6156,33.3158,30.1111,58.86,54.6337,38.112,37.2347,28.8342,38215,71.526,-8195
148,St. Thomas,Sum,27,108.1143,106.4178,.5442148,54.139,52262,14.736,18.778,23.8323,26.470,30.3251,30.4119,55.127,52.5273,35.399,34.1201,46.222,38.7239,63.7348,-8197
149,Tarleton St.,WAC,25,108.1145,106.5180,.5430149,49.5226,50.4175,17.3188,20.630,30.6117,33.5336,31.3227,37.5289,48.9236,50.3172,33.9178,33.8177,29.8328,36.9163,66.4261,-1.273
150,Tulane,Amer,26,110.4105,108.9232,.5378150,54.533,51207,14.736,17.7128,19.7359,33.3332,46.53,32.7182,55.224,50.9200,35.588,34190,36.1214,42.3324,73.19,-7.4179
151,UNC Asheville,BSth,27,108.8126,107.5199,.5358151,52.875,50.3167,17.6207,16.4225,27.9217,31.3282,43.39,34.3225,50.7157,51.2217,37.522,32.6105,36.4202,36.5145,68.8124,-5.7145
152,Winthrop,BSth,27,107.6154,106.2174,.5356152,52116,49.8140,18.6276,18.586,30.9109,32.7320,51.51,34.5229,53.174,51.2217,33.5196,31.969,38.8143,41.5308,67.6197,-7.1170
153,Sam Houston St.,CUSA,26,104.6206,103.5122,.5322153,48279,50.6184,18.9292,18.875,31.1102,26.884,33.4156,34.6232,45.7334,51.8241,35115,32.5100,35244,40.1275,68.1165,-5132
154,Oregon St.,P12,28,106.2178,105.3155,.5261154,49.7216,50.7187,18.6276,16.9185,26.3269,31271,35.6109,37.3286,50186,52.1256,32.8227,32.389,34.2263,38.4229,65.3307,-6.6158
155,Toledo,MAC,28,112.474,111.7289,.5177155,53.258,55.5353,14.949,18.683,28.8178,28.4146,34.2140,26.127,51.9117,57.1360,37.522,35.2266,28.4346,36.9163,69.394,-5.2138
156,Ohio,MAC,28,110.0109,109.3241,.5172156,52.968,49.8140,14.219,18.586,27.9217,31.9303,33.1164,34.6232,52.883,49.4133,35.495,33.7170,41.279,36.7150,67.3212,-8.1200
157,South Dakota St.,Sum,27,108.1140,107.5200,.5162157,54.928,51.3225,17.1172,16.6213,25.4292,2663,31235,28.979,55.721,49.3127,35.874,35.7297,40.2102,46.3357,68.7129,-7.5182
158,Delaware,CAA,29,106.2180,105.6161,.5146158,52.2105,4997,15.680,15.6282,27.7225,28.7162,32200,27.143,53.468,50.1160,33.3203,31.346,35.8221,36.2131,67.8188,-7.2174
159,Weber St.,BSky,26,108.1144,107.6201,.5118159,52.968,54.3345,14.949,18.3101,23.6325,23.311,37.370,28.876,53.662,55.9355,34.5140,34.3213,39.2131,36.2131,65.6299,-5.1135
160,East Carolina,Amer,27,103.3233,103.1118,.5058160,46.7312,50.4175,16102,19.743,33.450,30.9267,32.1192,31.6150,47.5284,53.4307,30.3323,3136,37190,42.8333,65323,-8.1199
161,Missouri St.,MVC,30,105.9187,105.8166,.5038161,50.3192,48.778,17.2178,12.9356,28.6192,24.825,31.8209,24.917,52.1110,47.558,31.7282,33.8177,37.6171,38.3225,68.3152,-7.1173
162,Colgate,Pat,29,103.7226,103.7126,.4992162,53.258,47.342,16.4130,16.2239,25.1296,25.130,26.2339,24.917,52114,48.285,36.738,30.725,38.9138,39249,66.7251,-3.9113
163,Texas A&M Corpus Chris,Slnd,24,102.6247,102.8112,.4949163,46.3326,48.264,17.8221,19.546,34.728,25.130,37.173,49.3362,46.7307,49.1119,30.3323,3136,29339,36.7150,68.7131,-5.4140
164,Montana,BSky,26,111.785,112.1299,.4916164,53.747,52262,14.219,14.4323,25.9283,25.130,27.9308,35.2245,53.754,50.9200,35.874,36.3324,37.4177,31.730,66.3269,-4.9129
165,Quinnipiac,MAAC,27,106.1181,106.4175,.4915165,50.3192,49.6125,17163,17.2161,31.1102,27.7116,31235,30107,49.4218,48.387,34.5140,34.5228,35.4234,37175,71.825,-4.2121
166,Loyola Marymount,WCC,28,109.0122,109.3241,.4911166,51.8130,49.8140,16.8155,12.4360,29.6149,26.988,30.3251,28.573,49.1230,49.7145,37.129,33.3140,40.2102,30.315,65.5301,-9.7236
167,Bryant,AE,27,99.9287,100.770,.4766167,49.3239,45.57,15.680,17176,20.4357,30.5246,30.1256,35.2245,50.6163,45.114,31.5294,30.828,37.7169,35.399,74.63,-6151
168,Kent St.,MAC,26,106.4172,107.4197,.4741168,51.1157,52262,18.1242,1964,31.298,28.5151,33.2162,34.9240,48.8243,52.8285,36.546,33.9184,39.3126,40.3282,67.3215,-9.1221
169,Utah Valley,WAC,26,99.4299,100.568,.4669169,47.4293,48.159,18.3262,18.586,27.8220,27.5108,36.295,35.6253,49.2225,47.973,28.8347,32.494,29.8328,3591,68.2156,-8.1198
170,La Salle,A10,28,106.5170,107.7204,.4668170,49.5226,51.1213,14.426,15.6282,26.4265,30.4245,26341,32.5174,48.1263,50.3172,34.3151,35.2266,40.987,32.638,67.8184,-8196
171,Wyoming,MWC,26,108.1142,109.4245,.4649171,50.5181,53.5325,19.3311,15.9257,28.8178,29.8212,38.936,27.247,48.9236,54.7340,35.588,34.5228,36.5200,39.9271,67.5203,-6152
172,UC Davis,BW,27,101.6261,102.8113,.4641172,49.9207,49.2105,19.7325,21.420,29171,30.3239,38.740,39.3313,50.9149,49.1119,32.2257,32.9119,37.8165,33.759,67.9180,-7.8190
173,Fordham,A10,28,103.2235,104.5140,.4621173,47.6284,50.7187,18.2256,19.842,3283,27.5108,35.9102,43.9345,47.1296,48.490,32.3251,37.5350,42.155,29.310,69.582,-9.5230
174,Fort Wayne,Horz,28,104.6208,106.0170,.4619174,53.846,51.5239,14.530,22.113,22.9339,30.7257,32200,34.4228,53.565,52.9286,36.161,32.6105,42.948,35.4107,7138,-6.9164
175,Stephen F. Austin,WAC,26,100.7278,102.095,.4611175,49247,4997,22.4357,236,34.431,29.8212,40.617,48359,49.6210,45.215,31.7282,37.1345,31.4309,35.8119,7066,-8.2202
176,Illinois Chicago,MVC,29,102.3250,103.8127,.4609176,51.5140,48.778,18236,17.4149,23.3334,27.9126,25.3348,36.6279,48.7248,49.7145,37.129,31.245,40.987,34.575,68.5142,-11.7283
177,Hawaii,BW,27,105.3194,106.8186,.4599177,52.968,48.882,18.5270,15.8267,25.8287,24.520,38.838,36.3269,5529,49.6142,33.4201,30.932,43.245,25.72,66.4263,-8.3204
178,Rice,Amer,27,107.4157,108.9228,.4595178,50.3192,52.2275,17.7214,15305,29.6149,28.9171,29.9265,27.656,50.7157,50.2168,33.1213,36.9340,40.1105,38.3225,66.2273,-9.8239
179,Fairfield,MAAC,28,108.3135,109.9251,.4574179,52.495,51.7249,16.2114,20.335,28.7182,31.1274,28.6294,26.328,49.3220,53.1291,37.916,32.9119,41.279,36.9163,68.7133,-7169
180,Gardner Webb,BSth,27,104.5209,106.1172,.4566180,49.4237,50.5179,15.787,16250,27.7225,27.2102,36.488,40.4324,47.7279,50.2168,35115,34190,35.2239,33.656,7061,-8.9217
181,Stony Brook,CAA,29,106.4175,108.0212,.4559181,49.8211,50.7187,15.575,15.5286,27250,29.4189,29.4283,27.863,49233,49.3127,34.1167,35254,36.9193,42.9338,68.1169,-7.5181
182,Eastern Kentucky,ASun,27,108.4131,110.1256,.4557182,50.7170,50.1154,16102,14337,32.763,30.7257,32.1192,29.388,48.7248,45.930,36.642,38.8359,33.8274,33.862,69.1104,-7.9194
183,Columbia,Ivy,22,108.1141,109.9253,.4535183,52.778,51.6244,17.9228,17.1168,27.7225,28.1134,28.7293,30107,50186,53.1291,3814,33123,39134,42.2322,68.8120,-7.9192
184,Illinois St.,MVC,29,102.8243,104.6141,.4504184,47.4293,51207,17.2178,16.7202,29.3156,25.648,3776,27.760,50186,52.3265,28.6349,32.7111,37.4177,39.1252,64.3339,-7.7188
185,Georgetown,BE,28,109.9110,111.9294,.4480185,48.2270,55.3351,17.9228,16.4225,33.352,30.5246,34.3138,31.4142,46.4321,56.7359,33.9178,35.3275,41.279,37.9211,67.1225,-7.9191
186,Temple,Amer,27,103.0237,105.0148,.4454186,44.8349,50.1154,14.530,17.6133,29.8138,30.3239,31.6219,35.8257,44.6346,50.7191,30.1327,32.8113,43.342,38.4229,67.2217,-10246
187,UTEP,CUSA,26,98.4309,100.465,.4417187,47.2298,52.1269,20.8341,26.31,28.5197,31.7296,43.39,47356,48.4257,53.4307,29.8335,33123,31.7303,33.250,70.355,-10248
188,Little Rock,OVC,30,107.1162,109.3243,.4415188,52.3101,48.573,17.6207,17.5141,32.668,30.2233,34.4135,36.2266,53.174,48.592,33.7185,32.281,31.6304,37175,69.489,-8.5207
189,Jacksonville St.,CUSA,26,102.2254,104.4137,.4367189,48.2270,49.5123,20.5337,18.3101,3439,25.753,36.781,34.3225,48.6253,49.2123,31.5294,33.4146,28351,36.1127,64.9325,-10247
190,Rhode Island,A10,27,108.7128,111.3280,.4331190,52116,53305,18.6276,13.2350,29.3156,28.5151,37.467,29.9103,51.2145,52.4269,35.971,36311,32.5293,39.3259,69.1101,-9.1222
191,Long Beach St.,BW,27,106.0184,108.5218,.4325191,49.5226,50.9198,17.7214,19.256,32.570,30.5246,38.347,32.6177,50.3174,49.7145,31.7282,35254,28.3347,45.3352,72.217,-5.8146
192,Saint Louis,A10,27,110.4106,113.0319,.4316192,50.6177,53.6330,17.4196,14.1334,25.9283,28.4146,36.684,34.7235,48.1263,53.9321,36.546,35.5284,37.5173,42.3324,69.875,-9.9245
193,Northern Kentucky,Horz,28,102.8244,105.4156,.4286193,50.1203,50.6184,17.8221,20.335,30.4121,32.3312,36.295,27.450,51.9117,54.3331,31305,30.520,33.3282,42.7332,67.9177,-7.6186
194,Monmouth,CAA,30,105.2196,107.9210,.4270194,49247,49.7132,15.470,17.8125,30.1131,32.7320,30260,33.2198,46.7307,48.695,35.399,34190,36.2207,42.8333,68.2155,-7.4177
195,Harvard,Ivy,24,102.8241,105.5158,.4260195,50.4188,49.5123,17.7214,16250,26.5262,31.9303,37.272,26.430,50.4170,48.9113,33.7185,33.5152,39.3126,41.4305,67.6199,-5.7144
196,Radford,BSth,28,109.1120,112.0298,.4255196,51.9123,51.2219,16.3120,15.8267,29.2164,33.1328,27.6319,33192,50.3174,52.4269,36.642,32.8113,34.9249,39.4261,64346,-9.1220
197,Merrimack,NEC,27,96.8329,99.347,.4250197,49.8211,45.912,19.2305,23.75,22.7342,34.9352,35.5111,33.2198,52.692,45.521,30.6315,31.346,41.472,31.730,67.7192,-5.6142
198,Penn,Ivy,25,108.2139,111.2275,.4235198,51.2153,53.5325,17163,14.3328,29.5153,26.267,26.8334,25.923,49.5212,53.9321,35.588,35.3275,43.637,44.2347,65.6298,-10.1250
199,Marist,MAAC,26,97.5322,100.256,.4223199,50.8168,46.424,18.1242,21.420,23.1336,27.7116,28.6294,36.4272,49.2225,46.133,35.779,31.346,36.2207,38.7239,65.1318,-7.1171
200,Louisville,ACC,28,106.0185,108.9231,.4215200,48279,54.2344,17.9228,16.1244,29171,28.1134,4023,31.3137,49.4218,53.5314,30330,36.8338,30.8316,39.2255,69.874,-9.4229
201,Northeastern,CAA,30,106.9166,109.9251,.4205201,51.7133,53.7332,19.2305,16.9185,32.180,27.8121,30.4249,27.966,53.754,52.6277,32.1260,37343,36.2207,39.1252,65.9288,-12290
202,Northern Colorado,BSky,27,109.3117,112.4306,.4186202,55.124,53305,15.575,15.7271,24.4311,25.442,28.6294,29.592,5617,52.2261,35.874,36.1317,36.4202,40.5288,70.159,-7.9193
203,Vanderbilt,SEC,28,104.2213,107.3193,.4182203,45.4340,52.7292,15.787,15.9257,28213,29178,3699,29.9103,47.2291,50.2168,28.5352,37.7352,41.182,39.6265,66285,-8.8214
204,East Tennessee St.,SC,28,103.0240,106.1171,.4154204,46.4322,51.1213,18236,18.2104,34.629,29.6200,32.4190,35.6253,47.6283,50.9200,29.8335,34.3213,41.376,38.6236,66.8245,-8.9215
205,Iona,MAAC,28,104.4211,107.6202,.4122205,49.6221,53305,15.158,22.510,29.3156,31271,30.3251,39.7316,47.9274,53.9321,35115,34.4221,37.9162,40.1275,68173,-10.5257
206,Longwood,BSth,27,104.1219,107.4196,.4109206,49247,51.8253,18236,19.546,36.712,25.340,39.331,36.3269,48.8243,51.2217,33219,35.1260,28.7344,37.9211,67.5206,-8.8211
207,UMKC,Sum,27,102.3251,105.7164,.4060207,49.7216,51.6244,18236,17.2161,31.298,25.753,29.4283,46.4354,48.8243,52.9286,33.9178,32.8113,43.440,36.3138,66.9236,-9.9242
208,Lipscomb,ASun,29,111.389,115.1345,.4059208,56.411,53.4323,14.426,16.1244,23337,29.4189,27.7315,22.96,55.920,53.1291,38.211,36311,39.8113,36.4142,69.679,-5.9149
209,Saint Peter's,MAAC,25,98.1314,101.481,.4055209,44.7350,47.849,19.6320,21.518,34.629,28.9171,37.760,43.6344,42.7357,47.253,32.5240,32.5100,32.6290,35.7116,64.4338,-6.9167
210,Wofford,SC,27,107.9151,111.8291,.4001210,53.944,51.8253,17.1172,14337,29.3156,26.470,28.1305,34.7235,53.754,50.5181,36.161,35.8301,45.523,42.1317,66282,-7.5183
211,South Alabama,SB,28,105.1199,108.9229,.3985211,51.5140,50.5179,16.5141,16.3233,22.8340,31.7296,30.9239,34.2220,50.6163,52.2261,35.399,31.655,36.5200,35.9123,68.1163,-9.6233
212,Brown,Ivy,26,103.5231,107.3194,.3982212,48.3266,51.2219,18.3262,16.8194,32.275,27.2102,33.7151,32.8185,47.9274,51.9246,32.6235,33.3140,40.399,37.9211,67232,-11.5277
213,Cal Baptist,WAC,26,103.0237,106.9189,.3951213,47.2298,49.2105,17.2178,15.6282,32.570,24.825,37.565,31.9159,46328,48.183,32.8227,34.8244,36.2207,25.61,64.3340,-9.7237
214,Mount St. Mary's,MAAC,29,102.8245,106.8183,.3917214,52116,48.674,20.5337,18116,30.6117,27.9126,27332,30.6125,52.883,4749,33.6191,34.5228,33.2283,34.268,68.7130,-12.5299
215,Cleveland St.,Horz,29,107.3159,111.5286,.3910215,49.3239,51.8253,14.846,19.353,34.138,35.7358,30.9239,38.9307,48.8243,54.5333,33.6191,31.655,31.5307,37.8206,67.6198,-7.8189
216,Abilene Christian,WAC,27,101.5262,105.5157,.3909216,46.5317,52.1269,17.3188,20.728,26281,30.3239,38.838,41.3331,44.8345,53.3302,34.3151,33123,25.8358,31.325,69111,-9.5231
217,San Jose St.,MWC,28,106.8167,111.0273,.3908217,51.9123,54.1339,15.575,15.9257,22.8340,30.3239,22.9358,35.9260,51.5136,52.1256,35115,38.5358,42.551,34.575,66281,-11.8284
218,UC Santa Barbara,BW,25,106.3176,110.6266,.3877218,53.355,50.2163,18.9292,14337,26.2272,25.544,39.233,30.8129,53.754,52252,34.9122,3136,29.6332,33.250,67.5202,-7.7187
219,George Washington,A10,27,106.4173,110.8268,.3873219,50.9161,49.9147,17163,14.4323,26.2272,29.6200,34.1143,23.610,50.1184,48.8107,34.8126,34.4221,41.376,39.2255,71.229,-7.6185
220,Rider,MAAC,28,105.1198,109.4244,.3858220,48.3266,50.3167,17.8221,15.4289,31.493,28129,30.6244,36.4272,47.1296,49.1119,34.3151,34.8244,28.2350,39249,68.2157,-9.9243
221,Evansville,MVC,29,102.7246,107.0190,.3836221,50.9161,53305,16.6147,17.1168,21.3354,25.857,29.8270,26.938,50.1184,51.9246,35115,36.2319,34.1266,43.3341,69.1100,-7.5184
222,Tulsa,Amer,27,101.2270,105.6159,.3814222,50205,49.8140,18.6276,18.495,24.8303,30.1229,39.924,33.2198,51.8121,50.1160,31.5294,32.9119,40.694,38.8244,70.944,-8.3203
223,Fresno St.,MWC,27,104.2216,108.7224,.3796223,52.686,52.9301,19.1302,15.7271,25.1296,30.2233,29.8270,27.551,53.950,51.8241,33.7185,36.6334,38.3149,36.2131,65.9291,-9218
224,Georgia St.,SB,28,105.0201,109.7248,.3784224,48.4262,4997,13.78,14.2330,27.1243,30.3239,28.4301,36.4272,48.9236,51.6231,31.6288,3015,35.5227,38.4229,68.2154,-10.2253
225,Mercer,SC,27,103.5230,108.1215,.3774225,49.5226,51.4228,17163,18.1110,31.1102,30.5246,27.1330,41329,48.5255,51.1211,34.6138,34.6235,30.3323,36.5145,66.4260,-10.6261
226,Pepperdine,WCC,29,107.5156,112.3303,.3767226,50.5181,56.2360,16102,16.6213,28213,25.753,32.4190,33.8215,49.1230,55.1346,35.683,39360,32.5293,31.224,67.8183,-10.9266
227,Montana St.,BSky,26,101.8257,106.4177,.3755227,52.591,52262,17.2178,18.969,20358,29.1184,31.7215,38.3300,52.499,53.9321,35.1111,32.389,40.694,3591,68.5141,-12291
228,Texas St.,SB,28,98.4308,103.0117,.3715228,46.3326,49.7132,19.8326,17.9121,30.8111,28.6156,35.3115,37.4288,46.2323,50.9200,31305,31.655,24.6361,35.4107,66.7252,-9.8240
229,Southern,SWAC,24,99.5296,104.3134,.3697229,49.9207,51.5239,19299,22.78,25.2293,31.9303,34.5133,45.5351,50.5169,53.2298,32.6235,32.5100,37.9162,36.9163,68.9114,-5.1134
230,North Dakota,Sum,27,105.3195,110.3261,.3685230,49.5226,52.2275,15.366,15.1302,31.1102,26.470,33.1164,30.1111,50.7157,51.8241,31.9267,35.4279,41.763,34.474,66.8243,-8.8213
231,Miami OH,MAC,26,103.1236,108.1214,.3669231,52.495,49.3113,17.2178,17.3154,21.8350,30.8263,31.9205,32.6177,49.5212,50.1160,37.719,31.969,40109,36.9163,67.2220,-9.4228
232,UC Riverside,BW,27,103.6227,108.7220,.3665232,45.7336,51.8253,14.949,15.3294,29.7146,25.130,27.2326,34.8237,44.3347,51.5229,31.7282,35254,42.353,33.964,66.9237,-9.8238
233,Stetson,ASun,28,108.0146,113.4327,.3651233,52.591,52.4282,16.4130,13.7341,28213,30.2233,29.7275,24.414,51.8121,52.1256,35.683,35.2266,41.958,37.8206,66.1277,-6.6157
234,Air Force,MWC,27,107.2160,112.5309,.3650234,5442,53.7332,19299,18116,24.7305,31.4288,30.6244,38.4301,53.468,52.5273,36.546,37.3348,46.519,37175,62.3358,-11272
235,Tennessee Martin,OVC,26,105.1197,110.4262,.3628235,50.6177,48.882,15.366,13355,26.9255,25.960,32200,24.113,48.1263,49.2123,36.546,32.281,38157,40.4284,72.813,-5.8148
236,North Florida,ASun,28,106.6168,112.0296,.3624236,53.258,52.4282,16.4130,14.8310,23.4333,29.9217,28306,33.6209,52.980,51.9246,35.779,35.6291,55.51,30.315,67.3216,-10249
237,Florida Gulf Coast,ASun,28,104.2215,109.6247,.3586237,52.1109,53.1313,17.4196,15.7271,29.7146,28129,27.2326,2981,50.9149,52.9286,36.258,35.6291,37.2185,42.8333,64.2341,-11.9289
238,Bowling Green,MAC,27,102.4249,107.9209,.3546238,48.1276,51.2219,16.3120,15.9257,30.3124,25.960,35.9102,27.656,50.4170,49.2123,29.2341,36.7336,34.9249,34.268,68.1161,-8.4205
239,Green Bay,Horz,28,103.5229,109.1237,.3533239,52.3101,48.992,18.6276,14.1334,27.8220,27.8121,29.2289,33.2198,53.754,51.1211,33.9178,29.913,48.19,36125,63.3353,-6.9165
240,Cal St. Fullerton,BW,27,99.6295,105.0146,.3524240,47.2298,49.6125,18.5270,18.495,24.8303,29.8212,3934,34.9240,46.5316,50.8196,32.2257,31.864,36216,38.7239,66.2272,-9.7235
241,Southern Miss,SB,28,101.8258,107.4198,.3506241,48.7256,50.7187,18.2256,17.3154,29.2164,30223,38.544,33192,47.1296,48.8107,34.5140,36.1317,33.9272,35.399,67.9181,-8.9216
242,Lamar,Slnd,26,103.8224,109.7249,.3471242,50.9161,49.7132,17.7214,19.450,32.570,32.2311,32.9175,40.2320,49.5212,4881,35.779,34.7236,34.6255,41.3301,69.585,-9.1223
243,North Carolina Central,MEAC,22,103.0239,109.0234,.3440243,49.1245,48.882,17.6207,18116,29.8138,31.8300,39.728,37.7292,49.9194,52252,31.8276,297,37.9162,37.6200,67230,-7.4178
244,Austin Peay,ASun,28,107.6153,113.9333,.3438244,50.3192,52.5287,13.812,16.9185,30.1131,32306,30.8241,36.2266,47.7279,54.1328,36.642,33.1128,36.1214,36.9163,64.2342,-9.2224
