Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2018-11-01,Evergreen State College,H,W,96-45,Exhibition,"5,744"
2018-11-06,Montana State,A,W,101-71,Non-Conference,"2,354"
2018-11-09,Hartford,H,W,100-73,MGM Resorts Main Event,"8,500"
2018-11-13,Mississippi Valley State,H,W,94-59,Non-Conference,"5,133"
2018-11-16,Utah Valley,H,W,65-46,MGM Resorts Main Event,"6,474"
2018-11-19,St. Mary's,N,W,80-63,MGM Resorts Main Event,
2018-11-21,Arizona State,N,L,82-87,MGM Resorts Main Event,
2018-11-28,Northern Iowa,H,W,71-52,MW MVC Challenge,"5,134"
2018-12-01,UC Irvine,A,W,89-65,Non-Conference,"1,812"
2018-12-05,BYU,A,L,80-95,Non-Conference,"11,377"
2018-12-08,Weber State,N,W,76-67,Beehive Classic,"10,678"
2018-12-15,Alabama State,H,W,86-48,Non-Conference,"6,078"
2018-12-20,Houston,A,L,50-60,Non-Conference,"6,264"
2018-12-28,Eastern Oregon,H,W,84-57,Non-Conference,"7,056"
2019-01-02,Nevada,A,L,49-72,Conference,"11,224"
2019-01-05,Air Force,H,W,79-62,Conference,"8,412"
2019-01-09,Fresno State,H,L,77-78,Conference,"6,397"
2019-01-12,Wyoming,A,W,71-55,Conference,"3,426"
2019-01-16,San Jose State,A,W,81-63,Conference,"1,388"
2019-01-19,Colorado State,H,W,87-72,Conference,"7,509"
2019-01-26,New Mexico,A,W,68-66,Conference,"10,752"
2019-01-30,San Jose State,H,W,103-73,Conference,"6,599"
2019-02-02,UNLV,H,W,82-65,Conference,"7,157"
2019-02-05,Fresno State,A,W,82-81,Conference,"5,091"
2019-02-09,San Diego State,A,L,63-68,Conference,"10,631"
2019-02-13,Wyoming,H,W,76-59,Conference,"5,458"
2019-02-16,Air Force,A,W,76-62,Conference,"3,037"
2019-02-20,New Mexico,H,W,71-55,Conference,"6,273"
2019-02-23,Boise State,A,W,78-71 (OT),Conference,"6,581"
2019-02-26,San Diego State,H,W,70-54,Conference,"8,160"
2019-03-02,Nevada,H,W,81-76,Conference,"10,387"
2019-03-05,Colorado State,A,W,100-96 (OT),Conference,"2,548"
2019-03-14,New Mexico,N,W,91-83,Mountain West Tournament,"7,518"
2019-03-15,Fresno State,N,W,85-60,Mountain West Tournament,"8,764"
2019-03-16,San Diego State,N,W,64-57,Mountain West Tournament,"8,969"
2019-03-22,Washington,N,L,61-78,NCAA Tournament,"19,426"